ARESTTYPEID;ARESTTYPE
686;Арестован Озинским РО ОГПУ.
687;Арестован ОкрМГБ в/ч 25084.
688;Арестован ОО НКВД 5 - ой армии.
689;Арестован Родничковским РО УНКВД
690;Арестован Ивантеевким РО УНКВД
691;Арестован Ивантеевским РО ОГПУ.
692;Арестован Пугачевским ОО ОГПУ по НВК.
693;Арестован Шахтино - Донецким ОО ОГПУ.
694;Арестован Балаковским РУП ОГПУ.
695;Арестован Вольским ГО ОГПУ по НВК.
696;Арестован ОГПУ по Перелюбскому району.
697;Арестована УНКВД Саратовской области.
698;Арестован Бакурским РОМ УНКВД.
699;Арестован Базарно - Карабулакским РО УНКВД.
700;Арестован Балашовским ОС ОГПУ.
